interest_rate,fico_range,amount_requested,amount_funded_by_investors,loan_length
8.9,735-739,20000.0,20000.0,36.0
12.12,715-719,19200.0,19200.0,36.0
21.98,690-694,35000.0,35000.0,60.0
9.99,695-699,10000.0,9975.0,36.0
11.71,695-699,12000.0,12000.0,36.0
15.31,670-674,6000.0,6000.0,36.0
7.9,720-724,10000.0,10000.0,36.0
17.14,705-709,33500.0,33450.0,60.0
14.33,685-689,14675.0,14675.0,36.0
6.91,715-719,7000.0,7000.0,36.0
19.72,670-674,2000.0,2000.0,36.0
14.27,665-669,10625.0,10625.0,36.0
21.67,670-674,28000.0,27975.0,60.0
8.9,735-739,35000.0,34950.0,36.0
7.62,725-729,9600.0,9600.0,36.0
15.65,730-734,25000.0,24975.0,60.0
12.12,695-699,10000.0,10000.0,36.0
10.37,740-744,14000.0,13900.25,60.0
9.76,730-734,10000.0,10000.0,36.0
9.99,760-764,5200.0,5175.0,60.0
21.98,665-669,22000.0,21975.0,36.0
19.05,695-699,30000.0,30000.0,60.0
17.99,665-669,6500.0,6500.0,60.0
11.99,695-699,17400.0,17400.0,36.0
16.82,670-674,4000.0,4000.0,60.0
7.9,705-709,7200.0,7200.0,36.0
14.42,675-679,8000.0,8000.0,36.0
15.31,675-679,8000.0,8000.0,36.0
8.59,765-769,3000.0,3000.0,36.0
7.9,760-764,14500.0,14500.0,36.0
21.0,685-689,23850.0,23850.0,60.0
12.12,685-689,14000.0,14000.0,36.0
16.49,720-724,35000.0,34975.0,60.0
15.8,685-689,16000.0,16000.0,60.0
13.55,675-679,17350.0,7019.25,36.0
7.9,780-784,8000.0,7975.0,36.0
7.9,720-724,7200.0,7200.0,36.0
7.62,830-834,20125.0,20125.0,36.0
8.9,715-719,12000.0,11875.0,36.0
12.49,660-664,2400.0,1850.0,36.0
17.27,670-674,3200.0,3200.0,36.0
11.14,720-724,12725.0,12725.0,36.0
19.13,660-664,5500.0,5500.0,36.0
21.74,660-664,15650.0,15650.0,36.0
17.27,675-679,9000.0,9000.0,36.0
11.86,715-719,5000.0,5000.0,36.0
10.38,710-714,3000.0,3000.0,36.0
23.91,670-674,20000.0,19975.0,60.0
7.49,785-789,5450.0,5450.0,60.0
12.12,705-709,14000.0,14000.0,36.0
10.38,750-754,8800.0,8799.04,60.0
17.44,660-664,3000.0,3000.0,36.0
17.27,700-704,32000.0,32000.0,60.0
21.49,665-669,22250.0,22250.0,60.0
17.8,680-684,7325.0,7300.0,60.0
11.14,725-729,16450.0,16450.0,36.0
12.98,670-674,2500.0,2500.0,36.0
9.99,715-719,6000.0,6000.0,36.0
14.33,690-694,27575.0,27575.0,36.0
8.59,755-759,1000.0,1000.0,36.0
11.49,705-709,12000.0,12000.0,36.0
10.16,715-719,30000.0,30000.0,36.0
14.33,680-684,13500.0,13500.0,36.0
15.8,665-669,9000.0,9000.0,36.0
9.91,730-734,15000.0,15000.0,36.0
7.9,725-729,5300.0,5300.0,36.0
13.11,685-689,7000.0,7000.0,36.0
16.29,685-689,20000.0,19975.0,36.0
18.25,705-709,15000.0,14993.57,60.0
14.09,695-699,8000.0,8000.0,36.0
19.03,695-699,24000.0,23947.48,60.0
8.9,715-719,7500.0,7500.0,36.0
11.83,735-739,17000.0,16875.0,36.0
17.27,665-669,12000.0,12000.0,36.0
15.31,670-674,6000.0,6000.0,36.0
13.12,670-674,6725.0,825.0,36.0
6.76,790-794,4500.0,4500.0,36.0
10.83,700-704,1600.0,1600.0,36.0
17.77,665-669,10000.0,10000.0,36.0
7.9,725-729,18550.0,18525.0,36.0
13.06,710-714,7450.0,7450.0,36.0
7.62,760-764,3225.0,3225.0,36.0
17.77,680-684,23675.0,23675.0,36.0
12.12,690-694,12000.0,12000.0,36.0
16.49,695-699,25000.0,25000.0,36.0
11.12,725-729,16000.0,15850.0,36.0
8.9,810-814,4200.0,4175.0,36.0
14.09,675-679,10000.0,10000.0,36.0
7.51,750-754,6000.0,6000.0,36.0
13.11,685-689,6000.0,6000.0,36.0
16.29,665-669,7925.0,7925.0,36.0
7.62,765-769,16000.0,15925.0,36.0
15.81,670-674,9525.0,9500.0,36.0
14.35,675-679,6000.0,6000.0,36.0
14.96,675-679,10000.0,9975.0,36.0
6.62,750-754,7000.0,7000.0,36.0
5.99,765-769,4500.0,4500.0,36.0
11.14,735-739,12000.0,12000.0,36.0
19.72,665-669,10375.0,10375.0,36.0
18.75,670-674,4800.0,4800.0,36.0
13.11,700-704,6400.0,6400.0,36.0
7.9,705-709,5000.0,5000.0,36.0
6.62,740-744,12000.0,12000.0,36.0
21.48,690-694,23850.0,23820.25,60.0
10.65,720-724,15000.0,15000.0,36.0
7.62,765-769,8000.0,8000.0,36.0
6.03,715-719,20000.0,20000.0,36.0
13.11,710-714,20000.0,19975.0,36.0
14.09,690-694,10000.0,10000.0,36.0
14.09,710-714,18825.0,18825.0,36.0
7.9,775-779,35000.0,34975.0,36.0
6.03,815-819,9000.0,9000.0,36.0
6.17,745-749,4000.0,4000.0,36.0
13.99,660-664,5750.0,5750.0,36.0
15.8,690-694,20950.0,20950.0,36.0
10.99,710-714,8000.0,8000.0,36.0
10.16,725-729,10000.0,10000.0,36.0
14.09,675-679,10000.0,10000.0,36.0
6.03,765-769,14000.0,14000.0,36.0
7.66,735-739,5000.0,5000.0,36.0
19.05,700-704,25000.0,25000.0,60.0
8.9,735-739,35000.0,35000.0,36.0
11.14,690-694,7200.0,7175.0,36.0
8.49,760-764,14000.0,14000.0,60.0
15.21,680-684,15000.0,14975.0,36.0
19.72,695-699,25000.0,25000.0,60.0
14.65,675-679,10800.0,10800.0,36.0
14.33,700-704,20000.0,20000.0,36.0
10.74,695-699,4000.0,4000.0,36.0
15.7,675-679,16000.0,15950.0,36.0
9.76,730-734,1400.0,1400.0,36.0
16.32,665-669,7500.0,7500.0,36.0
14.07,675-679,24625.0,917.28,36.0
14.09,680-684,5000.0,5000.0,36.0
9.91,725-729,25000.0,24975.0,36.0
16.4,660-664,7500.0,7500.0,36.0
6.62,805-809,34500.0,34450.0,36.0
5.79,745-749,10000.0,10000.0,36.0
9.88,740-744,3200.0,3200.0,36.0
15.99,700-704,5500.0,5500.0,60.0
9.76,720-724,3000.0,3000.0,36.0
23.28,660-664,18000.0,18000.0,60.0
9.63,735-739,10000.0,9700.0,36.0
13.11,700-704,8800.0,8800.0,36.0
11.14,705-709,7000.0,7000.0,36.0
13.11,725-729,8000.0,8000.0,36.0
17.27,660-664,3000.0,3000.0,36.0
7.51,735-739,12000.0,11975.0,36.0
14.11,725-729,3600.0,3575.0,36.0
14.33,705-709,11625.0,11625.0,36.0
21.49,670-674,30000.0,30000.0,36.0
8.9,720-724,16000.0,16000.0,36.0
10.75,715-719,10800.0,10700.0,36.0
16.69,705-709,25000.0,23655.48,60.0
13.98,710-714,10000.0,10000.0,60.0
10.91,690-694,12375.0,275.0,36.0
11.48,705-709,6000.0,6000.0,36.0
13.49,685-689,8000.0,8000.0,36.0
18.25,660-664,15000.0,15000.0,36.0
17.77,665-669,7000.0,7000.0,36.0
6.92,745-749,8400.0,8400.0,36.0
7.9,740-744,15000.0,15000.0,36.0
14.33,665-669,15000.0,14925.0,36.0
10.16,695-699,2800.0,2800.0,36.0
16.29,680-684,7750.0,7750.0,36.0
8.9,700-704,4500.0,4500.0,36.0
12.53,715-719,17500.0,17375.0,36.0
15.31,710-714,18000.0,18000.0,60.0
15.27,720-724,15000.0,14975.0,60.0
15.23,665-669,6000.0,6000.0,36.0
11.14,700-704,11500.0,11475.0,36.0
13.11,685-689,10000.0,10000.0,36.0
8.9,725-729,12000.0,12000.0,36.0
12.12,685-689,10000.0,10000.0,36.0
21.28,680-684,35000.0,34975.0,60.0
10.38,750-754,7200.0,7100.0,60.0
7.9,800-804,4000.0,3975.0,60.0
11.14,740-744,5300.0,5200.0,36.0
7.62,730-734,1200.0,1200.0,36.0
11.14,720-724,2500.0,2500.0,36.0
14.33,700-704,17000.0,16975.0,36.0
7.9,695-699,16000.0,16000.0,36.0
12.69,695-699,10000.0,9950.0,36.0
10.16,700-704,5000.0,5000.0,36.0
19.05,670-674,4375.0,4375.0,36.0
6.03,745-749,8500.0,8475.0,36.0
16.89,675-679,12000.0,12000.0,60.0
8.59,740-744,6200.0,6100.0,36.0
18.49,660-664,7000.0,7000.0,36.0
12.69,730-734,20800.0,20800.0,60.0
13.11,745-749,19200.0,19200.0,60.0
15.8,700-704,22000.0,22000.0,60.0
19.05,675-679,15000.0,15000.0,36.0
19.47,665-669,7000.0,6965.1,36.0
8.9,730-734,20000.0,20000.0,36.0
6.17,745-749,2000.0,2000.0,36.0
10.59,755-759,18000.0,17738.58,60.0
11.48,790-794,20800.0,20775.0,36.0
7.88,725-729,9000.0,8875.0,36.0
14.09,670-674,6000.0,6000.0,36.0
15.8,665-669,5000.0,5000.0,36.0
14.83,685-689,12000.0,11975.0,60.0
8.0,750-754,7000.0,1998.0,36.0
10.0,715-719,6000.0,5950.0,36.0
13.98,700-704,17000.0,16975.0,36.0
8.94,750-754,12000.0,11975.0,36.0
7.9,730-734,16350.0,16350.0,36.0
7.9,755-759,20000.0,20000.0,36.0
12.12,690-694,12300.0,12300.0,36.0
13.11,690-694,4800.0,4800.0,36.0
7.9,735-739,14500.0,14500.0,36.0
8.9,700-704,4200.0,4200.0,36.0
14.09,690-694,22250.0,22250.0,36.0
14.09,675-679,8000.0,8000.0,36.0
17.77,665-669,8325.0,8325.0,36.0
13.11,730-734,14000.0,14000.0,36.0
10.16,705-709,9000.0,9000.0,36.0
13.11,680-684,16000.0,16000.0,36.0
11.14,760-764,15200.0,13694.22,36.0
10.65,725-729,24000.0,24000.0,36.0
15.31,685-689,16450.0,16450.0,36.0
12.12,710-714,7500.0,7500.0,36.0
22.47,665-669,4750.0,4750.0,36.0
7.9,720-724,6500.0,6500.0,36.0
18.67,660-664,5500.0,5450.0,60.0
6.03,750-754,9600.0,9600.0,36.0
12.12,710-714,12000.0,11975.0,36.0
7.51,730-734,2000.0,2000.0,36.0
24.89,665-669,18000.0,18000.0,60.0
12.12,690-694,5825.0,5825.0,36.0
15.31,670-674,2500.0,2500.0,36.0
19.91,660-664,7200.0,7200.0,60.0
14.33,670-674,8000.0,8000.0,36.0
20.77,665-669,25000.0,24675.0,60.0
14.09,665-669,2500.0,2500.0,36.0
12.84,750-754,20000.0,2050.0,36.0
13.11,720-724,6250.0,6250.0,36.0
13.67,680-684,12375.0,12375.0,36.0
10.16,685-689,18000.0,18000.0,36.0
6.99,760-764,3300.0,3300.0,36.0
18.49,700-704,21000.0,21000.0,60.0
16.29,695-699,24575.0,24575.0,36.0
7.74,750-754,5000.0,4900.0,36.0
16.29,680-684,20000.0,20000.0,36.0
6.62,750-754,13250.0,13250.0,36.0
8.59,790-794,10000.0,9975.0,36.0
10.75,740-744,20000.0,19950.0,36.0
8.49,715-719,10000.0,10000.0,36.0
12.12,710-714,12000.0,12000.0,36.0
7.9,725-729,8000.0,7950.0,36.0
8.94,760-764,11000.0,10950.0,36.0
7.49,730-734,12500.0,12425.0,36.0
11.03,685-689,7500.0,0.0,36.0
10.16,705-709,4825.0,4825.0,36.0
16.89,670-674,7550.0,7550.0,36.0
14.35,675-679,8000.0,7827.03,36.0
14.09,670-674,6000.0,6000.0,36.0
15.57,700-704,8000.0,8000.0,60.0
14.59,665-669,3000.0,3000.0,36.0
16.29,665-669,8000.0,7997.79,36.0
5.99,750-754,8400.0,8400.0,36.0
14.65,720-724,35000.0,35000.0,36.0
7.9,730-734,15000.0,15000.0,36.0
10.99,800-804,7500.0,7475.0,36.0
9.62,805-809,24000.0,23665.54,60.0
20.5,680-684,21000.0,20975.0,60.0
7.62,730-734,6000.0,6000.0,36.0
6.91,725-729,4500.0,4500.0,36.0
17.77,695-699,29000.0,29000.0,36.0
15.31,690-694,20000.0,20000.0,36.0
10.16,695-699,7000.0,7000.0,36.0
10.36,715-719,5000.0,4950.0,36.0
17.27,665-669,6000.0,6000.0,36.0
15.27,670-674,10000.0,10000.0,36.0
17.49,665-669,3200.0,3200.0,36.0
17.77,685-689,23000.0,23000.0,36.0
11.54,670-674,5000.0,1750.04,36.0
12.69,715-719,3000.0,3000.0,36.0
10.74,715-719,12000.0,11975.0,60.0
13.99,720-724,20000.0,19975.0,60.0
15.8,665-669,1200.0,1200.0,36.0
6.62,780-784,8000.0,8000.0,36.0
16.49,705-709,10000.0,9975.0,60.0
13.06,690-694,11000.0,11000.0,36.0
16.29,670-674,18000.0,18000.0,36.0
17.49,705-709,24000.0,23975.0,60.0
18.75,675-679,8000.0,7925.0,60.0
11.71,685-689,6000.0,6000.0,36.0
17.27,675-679,35000.0,34950.0,36.0
10.36,730-734,1000.0,750.0,36.0
15.31,680-684,10000.0,10000.0,36.0
15.8,670-674,6000.0,6000.0,36.0
6.03,750-754,4000.0,4000.0,36.0
11.71,745-749,20000.0,20000.0,60.0
14.12,655-659,3500.0,690.34,36.0
19.99,690-694,24000.0,24000.0,60.0
14.09,690-694,8000.0,8000.0,36.0
6.62,775-779,12000.0,12000.0,36.0
8.9,750-754,17600.0,17600.0,36.0
12.92,665-669,5000.0,512.46,36.0
18.67,660-664,8000.0,8000.0,60.0
9.88,730-734,10000.0,9850.0,36.0
6.62,800-804,16800.0,16800.0,36.0
10.38,755-759,6500.0,6450.0,60.0
7.9,790-794,35000.0,35000.0,36.0
14.33,685-689,9950.0,9950.0,36.0
9.91,750-754,5000.0,5000.0,36.0
19.05,695-699,10000.0,10000.0,60.0
13.11,685-689,6000.0,6000.0,36.0
7.9,770-774,35000.0,35000.0,36.0
7.9,705-709,5600.0,5600.0,36.0
7.9,795-799,17000.0,17000.0,36.0
12.99,715-719,15000.0,15000.0,60.0
11.14,685-689,3000.0,3000.0,36.0
17.77,665-669,12000.0,12000.0,36.0
14.27,705-709,25000.0,25000.0,36.0
20.49,660-664,31075.0,31050.0,36.0
14.33,740-744,4750.0,4750.0,60.0
11.71,680-684,6400.0,6375.0,36.0
9.91,730-734,25000.0,25000.0,36.0
6.03,785-789,5000.0,4975.0,36.0
11.99,755-759,12000.0,12000.0,60.0
19.72,665-669,20000.0,20000.0,36.0
15.96,665-669,10000.0,10000.0,36.0
20.49,660-664,9750.0,9750.0,36.0
14.09,685-689,10000.0,10000.0,36.0
10.46,680-684,3000.0,2057.84,36.0
19.72,700-704,25000.0,25000.0,60.0
14.22,670-674,5000.0,5000.0,36.0
5.79,730-734,6500.0,6500.0,36.0
15.31,670-674,8325.0,8325.0,36.0
15.31,710-714,20000.0,20000.0,60.0
12.12,710-714,12000.0,12000.0,36.0
10.38,755-759,9500.0,9475.0,60.0
5.79,780-784,12000.0,11862.38,60.0
11.49,715-719,7200.0,7200.0,60.0
10.16,710-714,8500.0,8500.0,36.0
19.05,685-689,17475.0,17475.0,60.0
12.12,690-694,10000.0,10000.0,36.0
22.47,660-664,18000.0,17975.0,60.0
5.42,785-789,4800.0,4775.0,36.0
7.9,720-724,5000.0,5000.0,36.0
12.12,720-724,20000.0,19925.0,36.0
15.31,710-714,12300.0,12300.0,36.0
22.78,675-679,28000.0,27950.0,60.0
11.11,690-694,1675.0,1675.0,36.0
17.04,685-689,7500.0,7500.0,36.0
12.61,675-679,9200.0,9200.0,36.0
15.8,675-679,8000.0,8000.0,36.0
10.99,690-694,5000.0,5000.0,36.0
18.25,690-694,19125.0,19125.0,60.0
5.99,790-794,5075.0,5050.0,36.0
9.62,710-714,7000.0,6975.0,36.0
12.12,675-679,5000.0,5000.0,36.0
13.49,760-764,35000.0,33500.0,60.0
14.65,670-674,2225.0,2225.0,36.0
10.16,715-719,4000.0,4000.0,36.0
7.9,740-744,16000.0,16000.0,36.0
17.77,675-679,15500.0,15500.0,36.0
13.11,695-699,16000.0,16000.0,60.0
13.06,710-714,9000.0,9000.0,60.0
16.49,710-714,20000.0,18275.0,60.0
18.17,685-689,20000.0,19900.0,60.0
22.78,690-694,30000.0,30000.0,60.0
10.59,735-739,10000.0,10000.0,36.0
19.05,660-664,14000.0,14000.0,36.0
15.31,710-714,18000.0,18000.0,60.0
6.62,740-744,10000.0,10000.0,36.0
13.11,735-739,25975.0,25975.0,60.0
14.09,690-694,10350.0,10350.0,36.0
17.77,660-664,10850.0,10850.0,36.0
5.42,770-774,4075.0,4075.0,36.0
10.75,755-759,14500.0,10168.89,60.0
10.16,710-714,12000.0,12000.0,36.0
22.95,665-669,1000.0,1000.0,36.0
13.11,700-704,5900.0,5900.0,36.0
13.11,705-709,9950.0,9925.0,36.0
6.03,790-794,7200.0,7200.0,36.0
16.77,685-689,14750.0,14750.0,60.0
16.7,690-694,5000.0,4975.0,36.0
14.91,715-719,20000.0,20000.0,36.0
19.42,705-709,18400.0,18375.0,60.0
14.11,700-704,7200.0,4167.97,36.0
13.99,725-729,18000.0,17994.17,60.0
12.12,690-694,8000.0,8000.0,36.0
8.9,720-724,4000.0,4000.0,36.0
13.11,690-694,6000.0,6000.0,36.0
10.25,720-724,6250.0,6100.0,36.0
14.09,685-689,5375.0,5375.0,36.0
15.31,665-669,8875.0,8875.0,36.0
10.65,700-704,7000.0,7000.0,36.0
15.31,680-684,12000.0,12000.0,36.0
18.75,670-674,21250.0,21250.0,36.0
19.72,680-684,3600.0,3600.0,60.0
14.33,670-674,12000.0,12000.0,36.0
14.33,690-694,10050.0,10050.0,36.0
8.9,700-704,4025.0,4025.0,36.0
6.62,780-784,5000.0,5000.0,36.0
11.71,775-779,16500.0,16400.0,60.0
7.29,735-739,10000.0,10000.0,36.0
12.29,685-689,7500.0,-0.01,36.0
6.03,755-759,10000.0,10000.0,36.0
8.9,715-719,10000.0,10000.0,36.0
7.9,730-734,18000.0,18000.0,36.0
16.29,680-684,7000.0,7000.0,36.0
22.47,670-674,22000.0,21975.0,60.0
13.11,685-689,6000.0,6000.0,36.0
6.62,750-754,5600.0,5600.0,36.0
12.12,705-709,9500.0,9500.0,36.0
13.11,680-684,12000.0,12000.0,36.0
10.37,675-679,7200.0,7200.0,36.0
15.8,665-669,5000.0,5000.0,36.0
15.96,695-699,8250.0,8086.75,60.0
22.47,690-694,30000.0,30000.0,60.0
15.81,700-704,10075.0,10075.0,60.0
13.11,700-704,9050.0,9050.0,36.0
10.16,700-704,17500.0,17500.0,36.0
6.91,730-734,10000.0,5334.01,36.0
8.9,715-719,10000.0,10000.0,36.0
15.8,690-694,8500.0,8500.0,36.0
14.65,675-679,16000.0,15975.0,36.0
14.09,725-729,2350.0,2350.0,36.0
7.29,730-734,10000.0,9924.07,36.0
15.8,735-739,25000.0,24975.0,60.0
14.33,685-689,8000.0,8000.0,36.0
13.11,670-674,6000.0,6000.0,36.0
13.11,685-689,4000.0,4000.0,36.0
11.14,715-719,11500.0,11500.0,36.0
9.91,705-709,12000.0,12000.0,36.0
16.49,690-694,15250.0,13914.17,60.0
12.68,695-699,5000.0,5000.0,36.0
7.9,715-719,6000.0,6000.0,36.0
16.29,710-714,18225.0,18225.0,60.0
10.38,735-739,15000.0,15000.0,36.0
5.79,760-764,4000.0,3882.78,36.0
12.12,715-719,27000.0,27000.0,60.0
13.85,705-709,15000.0,14925.0,36.0
10.16,725-729,4950.0,4950.0,36.0
10.0,730-734,21000.0,20925.0,36.0
15.31,675-679,9000.0,9000.0,36.0
18.75,695-699,21000.0,21000.0,60.0
19.05,660-664,8000.0,8000.0,36.0
6.91,760-764,23000.0,21457.14,60.0
14.65,680-684,10000.0,10000.0,36.0
9.99,730-734,5000.0,4947.35,60.0
10.16,730-734,5350.0,5350.0,36.0
12.42,705-709,10000.0,10000.0,36.0
10.16,720-724,24000.0,23975.0,36.0
7.9,705-709,24000.0,24000.0,36.0
14.09,685-689,15475.0,15450.0,36.0
21.0,670-674,25000.0,25000.0,36.0
9.91,730-734,13000.0,12975.0,36.0
7.62,730-734,7550.0,7550.0,36.0
15.31,685-689,9600.0,9600.0,36.0
15.21,700-704,15000.0,14950.0,60.0
14.11,675-679,7000.0,6975.0,36.0
15.31,665-669,1000.0,1000.0,36.0
12.87,720-724,25000.0,24798.43,36.0
14.33,725-729,24000.0,24000.0,36.0
18.49,700-704,21000.0,21000.0,60.0
13.11,670-674,1000.0,1000.0,36.0
9.63,780-784,16000.0,16000.0,60.0
17.27,725-729,24400.0,24400.0,60.0
7.9,720-724,14675.0,14675.0,36.0
19.05,660-664,12000.0,12000.0,36.0
13.11,700-704,8000.0,8000.0,36.0
13.11,685-689,12000.0,12000.0,36.0
10.99,730-734,16800.0,10075.0,60.0
14.33,680-684,14500.0,14500.0,36.0
16.63,680-684,25000.0,3925.0,36.0
13.11,740-744,28625.0,28625.0,60.0
22.95,670-674,21000.0,21000.0,60.0
9.76,780-784,7500.0,7500.0,60.0
10.38,730-734,11875.0,11775.0,36.0
13.67,690-694,3600.0,3600.0,36.0
15.31,695-699,16000.0,16000.0,36.0
23.28,660-664,20500.0,20500.0,60.0
18.25,665-669,10000.0,10000.0,36.0
17.49,695-699,15000.0,15000.0,60.0
11.99,680-684,10000.0,10000.0,36.0
11.71,685-689,11000.0,11000.0,36.0
19.05,690-694,25000.0,25000.0,60.0
10.16,675-679,15000.0,15000.0,36.0
14.09,665-669,5600.0,5600.0,36.0
11.71,720-724,20000.0,20000.0,36.0
19.72,665-669,25450.0,25450.0,60.0
11.12,715-719,7000.0,7000.0,36.0
12.12,690-694,10400.0,10400.0,36.0
14.84,705-709,25000.0,24975.0,36.0
11.97,705-709,20000.0,13000.0,36.0
17.43,675-679,16000.0,15800.0,60.0
7.9,725-729,15000.0,15000.0,36.0
19.72,675-679,24625.0,24625.0,60.0
13.11,690-694,21850.0,21850.0,36.0
15.31,670-674,6000.0,6000.0,36.0
16.0,725-729,6700.0,6636.91,36.0
12.21,700-704,10000.0,9225.43,36.0
15.31,670-674,5775.0,5775.0,36.0
15.27,680-684,14475.0,14475.0,36.0
