interest_rate,fico_range,amount_requested,amount_funded_by_investors,loan_length
17.27,670-674,8000.0,8000.0,36.0
12.12,700-704,15000.0,15000.0,36.0
17.77,680-684,10000.0,10000.0,36.0
13.49,690-694,5600.0,5600.0,36.0
16.32,685-689,10000.0,10000.0,60.0
14.09,675-679,13000.0,13000.0,36.0
9.99,745-749,15000.0,10825.0,60.0
12.12,680-684,2100.0,2100.0,36.0
12.12,685-689,12000.0,12000.0,36.0
13.16,670-674,1000.0,1000.0,36.0
14.09,735-739,16000.0,16000.0,60.0
7.9,730-734,14000.0,14000.0,36.0
10.16,690-694,14000.0,14000.0,36.0
12.21,725-729,20000.0,3850.0,36.0
11.14,760-764,17000.0,15865.55,36.0
10.74,745-749,7350.0,7350.0,60.0
10.25,775-779,10000.0,9500.0,36.0
11.36,710-714,20000.0,19796.41,36.0
7.14,760-764,7000.0,7000.0,36.0
12.12,715-719,6000.0,6000.0,60.0
10.0,715-719,12000.0,12000.0,36.0
6.03,750-754,4225.0,4225.0,36.0
12.29,700-704,14700.0,1973.77,36.0
6.76,755-759,2500.0,2500.0,36.0
14.84,670-674,4800.0,4775.0,36.0
15.96,665-669,6000.0,6000.0,36.0
6.03,750-754,6000.0,6000.0,36.0
15.31,670-674,1800.0,1800.0,36.0
15.8,675-679,7200.0,7200.0,36.0
12.12,680-684,6000.0,6000.0,36.0
11.14,670-674,15300.0,14850.0,36.0
9.32,775-779,5000.0,5000.0,36.0
17.77,665-669,10500.0,10500.0,36.0
17.77,660-664,6625.0,6625.0,36.0
22.47,665-669,16000.0,16000.0,60.0
16.29,675-679,22000.0,22000.0,60.0
15.21,680-684,5000.0,5000.0,60.0
8.9,680-684,20000.0,20000.0,36.0
13.06,670-674,1500.0,1500.0,36.0
7.49,730-734,8000.0,8000.0,36.0
16.29,705-709,18225.0,18225.0,60.0
7.62,740-744,5000.0,5000.0,36.0
13.99,685-689,10000.0,10000.0,36.0
17.77,670-674,8000.0,8000.0,36.0
10.75,720-724,6000.0,6000.0,36.0
18.62,685-689,24250.0,24225.0,60.0
12.69,675-679,8700.0,8700.0,36.0
14.65,725-729,20400.0,20375.0,60.0
6.62,740-744,9000.0,9000.0,36.0
11.14,715-719,16100.0,16100.0,36.0
21.0,670-674,35000.0,35000.0,36.0
7.66,700-704,4600.0,4600.0,36.0
14.18,685-689,14400.0,5325.0,36.0
11.14,685-689,5000.0,5000.0,36.0
19.05,660-664,5500.0,5500.0,36.0
13.98,720-724,25000.0,15800.0,60.0
14.09,670-674,5000.0,5000.0,36.0
14.65,710-714,10000.0,10000.0,36.0
11.89,740-744,20000.0,13975.0,36.0
17.14,680-684,10000.0,10000.0,36.0
9.76,740-744,17000.0,17000.0,36.0
22.47,665-669,25000.0,25000.0,60.0
7.9,710-714,5000.0,5000.0,36.0
13.11,685-689,6000.0,6000.0,36.0
17.27,670-674,8000.0,8000.0,36.0
14.09,695-699,12000.0,12000.0,36.0
8.94,720-724,3000.0,3000.0,36.0
6.17,770-774,5000.0,5000.0,60.0
10.16,705-709,3200.0,3200.0,36.0
18.49,670-674,7625.0,7625.0,36.0
22.11,690-694,3000.0,3000.0,60.0
11.49,730-734,5000.0,5000.0,36.0
12.99,685-689,18500.0,18500.0,36.0
14.09,690-694,18000.0,18000.0,36.0
10.59,695-699,4200.0,4200.0,36.0
7.29,725-729,5000.0,4975.0,36.0
11.71,730-734,19000.0,19000.0,60.0
16.77,675-679,15000.0,15000.0,36.0
19.72,680-684,18625.0,18625.0,60.0
7.62,720-724,6075.0,6075.0,36.0
15.31,690-694,12500.0,12500.0,36.0
15.31,665-669,5000.0,5000.0,36.0
12.12,690-694,10000.0,10000.0,36.0
16.77,660-664,8000.0,8000.0,36.0
15.81,680-684,20000.0,19975.0,36.0
13.49,685-689,9600.0,9600.0,36.0
9.76,695-699,3600.0,3600.0,36.0
18.75,690-694,14075.0,14075.0,36.0
7.51,735-739,3000.0,3000.0,36.0
10.16,760-764,35000.0,34975.0,36.0
6.99,750-754,1700.0,1700.0,36.0
7.51,790-794,8800.0,8800.0,36.0
12.18,740-744,24250.0,23985.41,36.0
11.14,720-724,10750.0,10166.42,36.0
15.96,660-664,6000.0,6000.0,36.0
10.16,700-704,15000.0,15000.0,36.0
14.33,700-704,15000.0,15000.0,36.0
13.11,680-684,10000.0,10000.0,36.0
12.12,690-694,5950.0,5950.0,36.0
10.99,700-704,10000.0,10000.0,36.0
15.23,670-674,4000.0,4000.0,36.0
7.88,780-784,15000.0,14675.0,36.0
15.31,665-669,10000.0,9850.0,36.0
13.11,700-704,8875.0,8875.0,36.0
10.74,705-709,2400.0,2400.0,36.0
20.53,675-679,25000.0,24950.0,60.0
16.07,685-689,5500.0,5500.0,36.0
12.53,685-689,6000.0,6000.0,36.0
19.05,690-694,18000.0,18000.0,60.0
7.9,800-804,28000.0,27975.0,36.0
16.29,725-729,32000.0,32000.0,60.0
13.11,690-694,6000.0,6000.0,36.0
8.9,750-754,7200.0,7200.0,60.0
11.14,700-704,11500.0,11500.0,36.0
5.42,790-794,4800.0,4800.0,36.0
10.65,685-689,4000.0,4000.0,36.0
10.65,720-724,15000.0,15000.0,36.0
17.99,675-679,15000.0,15000.0,36.0
12.42,705-709,25000.0,25000.0,36.0
18.75,680-684,4800.0,4800.0,60.0
6.62,735-739,9500.0,9500.0,36.0
12.53,705-709,15000.0,6200.0,36.0
13.98,675-679,6000.0,6000.0,36.0
6.03,740-744,12300.0,12300.0,36.0
7.51,755-759,24000.0,23950.0,36.0
11.12,705-709,2000.0,1975.0,36.0
9.76,710-714,14000.0,14000.0,36.0
12.12,700-704,10000.0,10000.0,36.0
9.63,785-789,13000.0,8113.74,36.0
16.29,690-694,5000.0,5000.0,60.0
12.42,670-674,6000.0,5994.0,36.0
14.33,710-714,10050.0,10050.0,36.0
7.9,720-724,4800.0,4800.0,36.0
10.74,700-704,14400.0,14400.0,36.0
15.31,695-699,11625.0,11625.0,36.0
10.16,720-724,18200.0,18200.0,36.0
13.35,710-714,20000.0,19875.0,36.0
17.27,695-699,9600.0,9575.0,60.0
11.83,715-719,9000.0,9000.0,36.0
18.25,725-729,35000.0,35000.0,60.0
7.51,735-739,1900.0,1900.0,36.0
13.67,710-714,20000.0,19896.51,36.0
10.37,675-679,2400.0,2400.0,36.0
11.71,675-679,4500.0,4500.0,36.0
12.12,710-714,12000.0,12000.0,36.0
8.63,730-734,10000.0,8175.26,36.0
7.9,730-734,11575.0,11575.0,36.0
6.62,720-724,20000.0,20000.0,36.0
14.7,640-644,6000.0,3475.0,36.0
10.0,700-704,2800.0,2800.0,36.0
14.09,680-684,6000.0,6000.0,36.0
6.91,735-739,20000.0,14750.0,36.0
13.99,720-724,22000.0,22000.0,60.0
13.11,675-679,10000.0,10000.0,36.0
12.12,690-694,9450.0,9450.0,36.0
7.66,725-729,10400.0,10325.0,36.0
15.28,720-724,15875.0,15818.07,60.0
12.12,730-734,18000.0,18000.0,60.0
8.9,710-714,8000.0,8000.0,36.0
14.33,760-764,12000.0,12000.0,36.0
6.54,795-799,20000.0,12150.0,60.0
16.77,660-664,10000.0,10000.0,36.0
19.03,680-684,24500.0,23475.0,60.0
12.12,695-699,10000.0,10000.0,36.0
7.9,735-739,3600.0,3600.0,36.0
17.49,670-674,12000.0,12000.0,60.0
10.74,685-689,6950.0,6950.0,36.0
10.16,705-709,8525.0,8525.0,36.0
14.33,690-694,5000.0,5000.0,36.0
18.25,695-699,4800.0,4800.0,60.0
13.35,665-669,6000.0,6000.0,36.0
19.22,680-684,4000.0,4000.0,60.0
6.03,745-749,14000.0,14000.0,36.0
14.65,685-689,23500.0,23450.0,36.0
15.95,665-669,2500.0,2500.0,36.0
6.17,745-749,2000.0,2000.0,36.0
16.29,675-679,24000.0,23925.0,60.0
11.49,725-729,12800.0,12800.0,60.0
7.9,725-729,8000.0,8000.0,36.0
9.99,710-714,3000.0,3000.0,36.0
7.9,725-729,7000.0,7000.0,36.0
13.48,690-694,18000.0,17975.0,36.0
14.11,670-674,9000.0,5975.0,36.0
10.99,695-699,11000.0,11000.0,36.0
7.9,720-724,6000.0,6000.0,36.0
7.74,785-789,6500.0,6475.0,36.0
18.49,675-679,19500.0,19500.0,36.0
17.27,695-699,16000.0,16000.0,60.0
14.33,685-689,18000.0,17950.0,60.0
23.33,665-669,30000.0,29975.0,60.0
14.09,660-664,10000.0,10000.0,36.0
15.58,700-704,16000.0,15900.0,60.0
17.58,690-694,35000.0,35000.0,36.0
13.72,665-669,8000.0,8000.0,36.0
13.11,700-704,14500.0,14500.0,36.0
10.62,720-724,12000.0,11925.0,36.0
13.43,670-674,4500.0,4500.0,36.0
11.83,725-729,16500.0,16350.0,36.0
9.91,705-709,10000.0,10000.0,36.0
19.05,690-694,35000.0,35000.0,60.0
11.09,745-749,21000.0,6165.31,36.0
15.45,640-644,8400.0,6725.0,36.0
7.9,705-709,6000.0,6000.0,36.0
19.22,665-669,12000.0,12000.0,36.0
16.89,665-669,12100.0,12100.0,36.0
14.09,675-679,25000.0,25000.0,36.0
6.03,780-784,16000.0,15925.0,36.0
18.25,690-694,27000.0,27000.0,36.0
18.75,665-669,12250.0,12250.0,36.0
17.77,665-669,10000.0,10000.0,36.0
13.67,675-679,9175.0,9175.0,36.0
15.31,680-684,14075.0,14075.0,36.0
18.55,660-664,13100.0,13100.0,36.0
8.9,715-719,14675.0,14675.0,36.0
11.14,710-714,5000.0,4900.0,36.0
13.11,670-674,18000.0,18000.0,36.0
7.62,775-779,12000.0,12000.0,36.0
14.33,680-684,19400.0,19400.0,36.0
12.12,665-669,18000.0,18000.0,36.0
17.77,665-669,12000.0,12000.0,36.0
13.11,675-679,8000.0,8000.0,36.0
19.72,710-714,23750.0,23750.0,60.0
15.58,695-699,7500.0,7475.0,36.0
12.69,680-684,5500.0,5500.0,36.0
17.27,710-714,16950.0,16950.0,60.0
11.14,715-719,3000.0,2950.0,36.0
13.49,670-674,1600.0,1600.0,36.0
7.49,715-719,6000.0,6000.0,36.0
12.12,695-699,7350.0,7350.0,36.0
17.77,670-674,12825.0,12825.0,36.0
21.0,685-689,24000.0,23975.0,60.0
18.49,695-699,10000.0,10000.0,60.0
14.33,675-679,5500.0,5500.0,36.0
14.72,695-699,17500.0,17500.0,36.0
13.11,680-684,10000.0,10000.0,36.0
6.17,770-774,20000.0,16275.0,36.0
6.99,735-739,11600.0,11600.0,36.0
13.99,715-719,12000.0,12000.0,60.0
11.26,720-724,13000.0,6770.1,36.0
17.27,665-669,8575.0,8550.0,36.0
14.09,685-689,6100.0,6100.0,36.0
15.31,680-684,14000.0,14000.0,36.0
14.33,670-674,10500.0,10500.0,36.0
21.49,675-679,19600.0,19525.0,60.0
15.8,670-674,15000.0,15000.0,36.0
17.27,725-729,8000.0,8000.0,36.0
21.49,660-664,20000.0,20000.0,36.0
12.53,700-704,11000.0,10969.64,36.0
17.9,675-679,6000.0,5905.66,36.0
11.14,705-709,12000.0,12000.0,36.0
13.11,690-694,17000.0,17000.0,36.0
7.9,720-724,6250.0,6250.0,36.0
23.76,665-669,27825.0,27825.0,60.0
15.31,680-684,30000.0,30000.0,36.0
14.11,675-679,4200.0,3969.9,36.0
21.98,680-684,3800.0,3800.0,36.0
15.31,670-674,2000.0,2000.0,36.0
14.09,680-684,6000.0,6000.0,36.0
19.05,685-689,21000.0,21000.0,60.0
13.49,680-684,2500.0,2500.0,36.0
16.77,690-694,2400.0,2400.0,36.0
10.74,720-724,13000.0,13000.0,36.0
14.65,665-669,4800.0,4800.0,36.0
9.91,730-734,17475.0,17475.0,36.0
21.97,670-674,16450.0,16400.0,60.0
14.65,680-684,14000.0,14000.0,36.0
17.27,665-669,2500.0,2500.0,36.0
18.49,660-664,8000.0,8000.0,36.0
12.53,705-709,5000.0,5000.0,36.0
13.11,690-694,15000.0,15000.0,36.0
12.69,720-724,25000.0,24814.89,60.0
8.9,700-704,3000.0,2975.0,36.0
7.9,705-709,6000.0,6000.0,36.0
10.65,720-724,7800.0,7800.0,36.0
7.9,710-714,25000.0,25000.0,36.0
15.33,660-664,18500.0,3100.0,36.0
12.99,710-714,12000.0,12000.0,60.0
15.99,665-669,5000.0,5000.0,36.0
10.59,745-749,2500.0,2500.0,60.0
16.29,710-714,16000.0,16000.0,60.0
15.31,745-749,25000.0,25000.0,60.0
16.89,660-664,2000.0,2000.0,36.0
10.16,730-734,2200.0,2200.0,36.0
10.25,730-734,14000.0,13825.0,36.0
13.11,670-674,3000.0,3000.0,36.0
9.91,730-734,11425.0,11400.0,36.0
17.27,705-709,17325.0,17325.0,60.0
8.49,730-734,5425.0,5425.0,36.0
22.78,665-669,20000.0,20000.0,60.0
11.71,700-704,3300.0,3300.0,36.0
17.27,670-674,2000.0,2000.0,36.0
13.11,745-749,26500.0,26500.0,36.0
18.55,670-674,17975.0,17975.0,36.0
13.47,700-704,15000.0,14925.21,36.0
13.99,725-729,16400.0,16350.0,60.0
13.99,700-704,13500.0,13500.0,60.0
15.27,670-674,12000.0,12000.0,36.0
21.48,665-669,16750.0,16750.0,60.0
12.18,745-749,8000.0,8000.0,36.0
9.76,710-714,10000.0,10000.0,36.0
15.21,670-674,10000.0,10000.0,36.0
13.85,720-724,5525.0,5525.0,36.0
19.69,705-709,17200.0,17200.0,60.0
16.29,680-684,19600.0,19575.0,36.0
11.48,715-719,4000.0,4000.0,36.0
13.11,735-739,13000.0,13000.0,36.0
9.63,790-794,8000.0,7850.0,36.0
10.08,755-759,25000.0,5640.7,36.0
10.25,750-754,20000.0,19900.0,36.0
17.27,680-684,27575.0,27575.0,60.0
14.33,670-674,24000.0,24000.0,36.0
18.49,660-664,7000.0,7000.0,36.0
16.77,685-689,12000.0,11975.0,60.0
19.03,670-674,14000.0,14000.0,60.0
11.14,725-729,10000.0,9975.0,36.0
6.03,780-784,7750.0,7750.0,36.0
13.67,690-694,15000.0,11550.0,36.0
11.86,705-709,15000.0,14950.0,36.0
15.31,685-689,25000.0,25000.0,36.0
14.91,720-724,15000.0,14975.0,60.0
16.29,660-664,5000.0,5000.0,36.0
12.98,665-669,5000.0,5000.0,36.0
15.31,680-684,35000.0,35000.0,36.0
15.37,675-679,7500.0,6025.0,36.0
10.36,765-769,25000.0,15675.0,60.0
11.12,700-704,3800.0,3800.0,36.0
8.9,700-704,2800.0,2800.0,36.0
7.49,730-734,6250.0,6250.0,36.0
9.91,725-729,18000.0,17994.46,36.0
17.27,660-664,6000.0,6000.0,36.0
14.09,710-714,20000.0,20000.0,36.0
11.14,700-704,8000.0,8000.0,36.0
6.62,790-794,12000.0,12000.0,36.0
11.12,775-779,24000.0,7100.0,60.0
11.49,690-694,3000.0,2925.0,36.0
6.99,745-749,5000.0,5000.0,36.0
13.99,730-734,21850.0,21800.0,60.0
23.28,675-679,21850.0,21850.0,60.0
13.47,690-694,10000.0,7586.93,36.0
15.68,680-684,15000.0,10150.07,36.0
7.29,740-744,9600.0,9600.0,36.0
20.5,670-674,25000.0,24975.0,36.0
11.49,780-784,25000.0,14401.65,60.0
7.9,810-814,30000.0,29950.0,36.0
16.89,700-704,20000.0,20000.0,60.0
13.67,695-699,14825.0,14825.0,36.0
17.27,670-674,8000.0,8000.0,36.0
11.71,720-724,20000.0,20000.0,36.0
7.9,765-769,7000.0,7000.0,36.0
10.62,760-764,20000.0,19900.0,36.0
11.03,680-684,5000.0,4500.0,36.0
13.11,675-679,17625.0,17600.0,36.0
13.11,685-689,7150.0,7150.0,36.0
10.36,720-724,25000.0,24775.0,36.0
14.33,675-679,15000.0,15000.0,36.0
6.62,765-769,9000.0,9000.0,36.0
16.35,665-669,17600.0,17600.0,36.0
12.68,690-694,10000.0,10000.0,36.0
15.2,675-679,11200.0,11000.0,60.0
15.31,680-684,13225.0,13225.0,36.0
11.14,700-704,4000.0,4000.0,36.0
10.99,720-724,12000.0,11975.0,36.0
19.05,735-739,35000.0,35000.0,36.0
14.59,705-709,25000.0,17250.0,36.0
6.03,750-754,9000.0,9000.0,36.0
12.12,700-704,18225.0,18225.0,36.0
14.72,660-664,4750.0,4750.0,36.0
6.62,770-774,14400.0,14400.0,36.0
23.76,660-664,30000.0,30000.0,60.0
12.12,715-719,13475.0,13475.0,36.0
19.05,675-679,10000.0,10000.0,36.0
6.62,740-744,12000.0,12000.0,36.0
16.89,695-699,6000.0,6000.0,60.0
6.54,725-729,9500.0,6500.0,36.0
10.38,780-784,12000.0,11875.0,60.0
8.9,705-709,5000.0,5000.0,36.0
8.9,745-749,3600.0,3600.0,36.0
14.27,735-739,27000.0,26993.89,60.0
14.27,665-669,10000.0,10000.0,36.0
13.11,670-674,5450.0,5450.0,36.0
15.28,700-704,16000.0,13613.86,60.0
17.27,670-674,9750.0,9750.0,36.0
7.51,785-789,30000.0,30000.0,36.0
12.12,705-709,14000.0,13975.0,36.0
6.62,740-744,8500.0,8500.0,36.0
7.9,745-749,14400.0,14400.0,36.0
7.14,765-769,8000.0,8000.0,36.0
13.11,680-684,12000.0,12000.0,36.0
13.11,695-699,10400.0,10350.0,36.0
18.75,695-699,21000.0,21000.0,60.0
11.83,705-709,6000.0,5925.0,36.0
13.67,730-734,10800.0,10800.0,60.0
14.33,690-694,2100.0,2100.0,36.0
6.03,770-774,4000.0,4000.0,36.0
7.62,725-729,3500.0,3500.0,36.0
12.53,725-729,24250.0,23811.24,36.0
14.33,715-719,19000.0,19000.0,60.0
15.33,670-674,10500.0,10477.85,36.0
18.49,670-674,2500.0,2500.0,36.0
14.59,690-694,16000.0,16000.0,36.0
13.75,665-669,3000.0,1300.0,36.0
5.42,780-784,10000.0,10000.0,36.0
14.09,685-689,7100.0,7100.0,36.0
9.32,780-784,12500.0,12425.0,36.0
13.99,675-679,1700.0,1700.0,36.0
11.14,670-674,4000.0,4000.0,36.0
17.99,675-679,18225.0,18225.0,36.0
16.29,735-739,30000.0,30000.0,60.0
6.54,730-734,10000.0,10000.0,36.0
7.9,720-724,6000.0,6000.0,36.0
12.12,675-679,6000.0,6000.0,36.0
15.8,675-679,6000.0,6000.0,36.0
17.77,665-669,7000.0,7000.0,36.0
15.31,670-674,10000.0,10000.0,36.0
12.73,675-679,3250.0,3250.0,36.0
19.72,685-689,30000.0,29950.0,60.0
11.11,700-704,21000.0,21000.0,36.0
7.62,735-739,11000.0,11000.0,36.0
7.14,750-754,5500.0,5400.0,36.0
7.9,770-774,15000.0,15000.0,36.0
19.91,670-674,20000.0,17890.7,60.0
8.07,760-764,7200.0,6250.0,36.0
18.64,675-679,4000.0,4000.0,60.0
8.9,730-734,20000.0,20000.0,36.0
12.12,705-709,15000.0,15000.0,36.0
11.83,730-734,8000.0,7825.0,36.0
19.74,660-664,15000.0,14900.0,60.0
11.14,685-689,8000.0,8000.0,36.0
14.33,710-714,20675.0,20675.0,36.0
15.31,695-699,30000.0,30000.0,60.0
7.66,740-744,12000.0,11875.0,36.0
9.99,695-699,5000.0,5000.0,36.0
8.9,760-764,4750.0,4750.0,36.0
12.12,680-684,6500.0,6500.0,36.0
10.59,720-724,21600.0,20550.0,36.0
12.84,670-674,1900.0,1900.0,36.0
7.9,710-714,6000.0,6000.0,36.0
7.62,720-724,8500.0,8500.0,36.0
12.12,685-689,9250.0,9250.0,36.0
13.49,675-679,1875.0,1875.0,36.0
12.61,675-679,2500.0,2450.0,36.0
13.47,690-694,10000.0,10000.0,36.0
15.23,730-734,25000.0,25000.0,60.0
13.99,710-714,5000.0,5000.0,60.0
13.61,695-699,6000.0,5996.63,60.0
14.22,680-684,10000.0,10000.0,36.0
6.62,730-734,5375.0,5325.0,36.0
16.32,700-704,19000.0,18898.03,60.0
11.89,695-699,5500.0,5500.0,36.0
10.74,700-704,10000.0,10000.0,36.0
13.11,740-744,8800.0,8800.0,60.0
15.95,705-709,9500.0,9475.0,60.0
5.79,765-769,12000.0,9294.21,36.0
11.71,725-729,16500.0,16500.0,36.0
11.71,755-759,25000.0,24875.0,60.0
12.12,700-704,24000.0,24000.0,36.0
10.36,690-694,7000.0,6875.0,36.0
18.25,660-664,1200.0,1200.0,36.0
13.11,710-714,24175.0,24175.0,36.0
7.9,720-724,2800.0,2800.0,36.0
11.71,705-709,4000.0,4000.0,60.0
12.12,665-669,10000.0,10000.0,36.0
10.16,710-714,7125.0,7125.0,36.0
8.32,750-754,10000.0,9325.0,36.0
13.11,695-699,10000.0,10000.0,36.0
15.31,670-674,4400.0,4398.89,36.0
12.12,710-714,10000.0,10000.0,36.0
12.12,700-704,9450.0,9450.0,36.0
7.62,765-769,3500.0,3500.0,36.0
12.69,725-729,24000.0,24000.0,60.0
10.99,700-704,11750.0,11750.0,36.0
10.16,765-769,30000.0,24800.0,36.0
18.75,665-669,12000.0,12000.0,36.0
14.09,695-699,13000.0,13000.0,36.0
13.48,710-714,5000.0,5000.0,36.0
14.33,700-704,15000.0,15000.0,36.0
13.43,745-749,16000.0,15975.0,60.0
15.23,705-709,12000.0,11975.0,60.0
14.33,675-679,10050.0,10050.0,36.0
15.23,760-764,35000.0,25850.0,60.0
22.95,685-689,30000.0,30000.0,60.0
12.18,740-744,24250.0,24175.0,36.0
6.03,790-794,16000.0,16000.0,36.0
15.05,675-679,9000.0,8996.01,36.0
11.12,750-754,17000.0,16750.0,60.0
7.75,760-764,5400.0,200.0,36.0
12.12,690-694,12000.0,12000.0,36.0
17.27,670-674,2000.0,2000.0,36.0
12.69,710-714,24000.0,24000.0,36.0
22.47,660-664,16800.0,16800.0,60.0
17.27,660-664,3000.0,3000.0,36.0
12.69,665-669,3500.0,3500.0,36.0
7.66,725-729,4000.0,3910.45,36.0
16.29,695-699,16000.0,15975.0,36.0
18.25,685-689,8800.0,8800.0,60.0
7.9,755-759,19725.0,19725.0,36.0
15.96,680-684,19750.0,19725.0,36.0
20.77,670-674,19750.0,19725.0,60.0
16.32,695-699,10000.0,10000.0,36.0
