,cancer_rate
0,0.0022471910112359553
1,0.0
2,0.004431314623338257
3,0.005873715124816446
4,0.004021447721179625
5,0.004602991944764097
6,0.0010526315789473684
7,0.005122950819672131
8,0.004562043795620438
9,0.004553734061930784
10,0.004488330341113106
11,0.006222222222222222
12,0.0040453074433656954
13,0.004669260700389105
14,0.0023237800154918666
15,0.002276176024279211
16,0.0015117157974300832
17,0.006028636021100226
18,0.006258692628650904
19,0.004732927653820149
20,0.0026041666666666665
21,0.0037546933667083854
22,0.003669724770642202
23,0.0065986802639472104
24,0.0023584905660377358
25,0.00390625
26,0.0038997214484679664
27,0.0022123893805309734
28,0.003264417845484222
29,0.008705114254624592
30,0.0016242555495397943
31,0.004138644593895499
32,0.00408371618172537
33,0.0020100502512562816
34,0.0044932601098352475
35,0.004830917874396135
36,0.003347680535628886
37,0.003811338732729871
38,0.002376425855513308
39,0.005123428039124359
40,0.0018570102135561746
41,0.005547850208044383
42,0.0050644567219152855
43,0.004139834406623735
44,0.005955107650022904
45,0.007751937984496124
46,0.004977375565610859
47,0.0045207956600361665
48,0.0017889087656529517
49,0.0017817371937639199
50,0.0035382574082264487
51,0.002589555459646094
52,0.0034290612944706386
53,0.006686167989970748
54,0.004159733777038269
55,0.0016535758577924762
56,0.004467912266450041
57,0.004038772213247173
58,0.0044408558740411785
59,0.003624647603705195
60,0.004380724810832338
61,0.005403319181783096
62,0.0022865853658536584
63,0.002973977695167286
64,0.004393994873672647
65,0.005484460694698354
66,0.003289473684210526
67,0.004732435384055333
68,0.006470165348670022
69,0.0053898670499461015
70,0.004296455424274973
71,0.0038049117952265654
72,0.00414651002073255
73,0.0041293874741913286
74,0.004779788323659952
75,0.0040885860306643955
76,0.001012829169480081
77,0.0016371971185330713
78,0.002249357326478149
79,0.0028864656831302116
80,0.003453689167974882
81,0.004351880634131178
82,0.005562422744128554
83,0.0033434650455927053
84,0.0033192516596258297
85,0.0012062726176115801
86,0.0038224051749485444
87,0.002933411557641537
88,0.002918855808523059
89,0.0025936599423631124
90,0.0031536697247706424
91,0.003417829678154372
92,0.0011270780501549732
93,0.004480537664519743
94,0.005589714924538848
95,0.0013812154696132596
96,0.004105090311986864
97,0.004076086956521739
98,0.00325821341297855
99,0.001898047722342733
100,0.0018888289260658392
101,0.0032145727297080095
102,0.005526315789473684
103,0.004208311415044713
104,0.0033924843423799585
105,0.0041418586590732595
106,0.0020560267283474686
107,0.0029940119760479044
108,0.004886391399951136
109,0.005061460592913955
110,0.0036040365209034117
111,0.0030783802983660904
112,0.0030718336483931945
113,0.002319109461966605
114,0.005082005082005082
115,0.0032325098129762178
116,0.0036371902705160265
117,0.0029082774049217002
118,0.00519705500216544
119,0.005782822874277147
120,0.0034180730613116855
121,0.005910914080641756
122,0.00229933110367893
123,0.0024849865396562435
124,0.002882437718756434
125,0.005286701911346075
126,0.005435876786792832
127,0.0033723467565959135
128,0.0039596119580281135
129,0.0023636005515067955
130,0.003916193459956922
131,0.0023492560689115116
132,0.00468384074941452
133,0.005236617532971295
134,0.0048383975227404685
135,0.0036461331798119364
136,0.004003049942813572
137,0.0013930001741250218
138,0.0025983024424042957
139,0.0037086985839514496
140,0.0035099448437238842
141,0.006177992987143096
142,0.00383461153717906
143,0.0029895366218236174
144,0.004142502071251036
145,0.004280540006585446
146,0.0027714378871861755
147,0.00437246963562753
148,0.002090032154340836
149,0.002064803049555273
150,0.0023273855702094647
151,0.004981884057971014
152,0.00350825902645812
153,0.0033488642981945255
154,0.002607561929595828
155,0.0034762456546929316
156,0.003036437246963563
157,0.004614940871070089
158,0.003296073373459444
159,0.004562303963501569
160,0.002277580071174377
161,0.0041245910965723226
162,0.0046380885453267745
163,0.0027563395810363835
164,0.0026070252469813393
165,0.003696604600219058
166,0.0013574046423238768
167,0.004609544468546637
168,0.004860267314702308
169,0.003509719222462203
170,0.004398240703718513
171,0.0031583103039873666
172,0.004778509621593698
173,0.004381443298969072
174,0.0046776232616940585
175,0.002526209422761147
176,0.0035189141636295085
177,0.00375751503006012
178,0.003373313343328336
179,0.005482456140350877
180,0.004727845799490847
181,0.003498612619133792
182,0.002646457355948514
183,0.0032231108988898176
184,0.002262982372558361
185,0.0035427491733585263
186,0.0040032968326857415
187,0.004102684327745868
188,0.0023937079676279492
189,0.0020302278366794496
190,0.004509954900450995
191,0.003689636462289745
192,0.0055284552845528455
193,0.0032456994482310936
194,0.003391626921038686
195,0.004023292747485442
196,0.0019011406844106464
197,0.004391927219491791
198,0.006246746486205101
199,0.0019306980997866072
200,0.002901741044626776
201,0.0016944084521080434
202,0.0028858592894815405
203,0.0040417981072555205
204,0.0030088323789187617
205,0.003360215053763441
206,0.0025810151993117293
207,0.0034676663542642923
208,0.0016599040944300996
209,0.003770114942528736
210,0.003581267217630854
211,0.0036920306168392618
212,0.005248666322491826
213,0.003821232762917428
214,0.003861003861003861
215,0.002955422379115015
216,0.0034105329949238577
217,0.0035225048923679062
218,0.003561749903213318
219,0.0034559557637662236
220,0.003728504032871709
221,0.004164773587763138
222,0.004773625717908556
223,0.004689675386531839
224,0.004758471521268926
225,0.004074630066480806
226,0.0037617999858045284
227,0.003592308234133972
228,0.0024623803009575923
229,0.0018898488120950325
230,0.003945960406634564
231,0.002593257530420906
232,0.0048508206525350525
233,0.0027011002042295275
234,0.0031570639305445935
235,0.0022894622857496444
236,0.004433770552373915
237,0.004383027941803129
238,0.0029158060988944234
239,0.003692014529863634
240,0.003013293943870015
241,0.004169847888647442
242,0.003488169292482995
243,0.003994065959146411
244,0.003339748669761123
245,0.005143567714221117
246,0.002930898433096607
247,0.0035169353966020994
248,0.0041108323100742085
249,0.004459782320148659
250,0.002646051675832728
251,0.003330305782621859
252,0.002662513814930172
253,0.002890605532020932
254,0.003723932472691162
255,0.004341819617130452
256,0.004041092555625883
257,0.0023256940743253064
258,0.003290571796461443
259,0.0019201049032922775
260,0.0033552419910833297
261,0.0034632414186138265
262,0.002710260271026027
263,0.003869636254192106
264,0.0037866315442871253
265,0.0024639645189109276
266,0.0025514336627247692
267,0.0025305269922879176
268,0.002967359050445104
269,0.0027553631174965557
270,0.00349990278047832
271,0.004229377024195085
272,0.003900333232353832
273,0.004383500056198719
274,0.0042106765629460466
275,0.0014149274849663955
276,0.0029146328616076133
277,0.0030765023586518084
278,0.0032968526952620487
279,0.003053941908713693
280,0.00340559303163272
281,0.0028145064352516932
282,0.004044201412622466
283,0.0029267476864756384
284,0.003993720219241469
285,0.004100146067703662
286,0.0031161056040828346
287,0.003930506779542759
288,0.002181574089612351
289,0.0036436917314660263
290,0.0028430345653149783
291,0.0028834757381167187
292,0.0028004158701411945
293,0.0050198633666328684
294,0.0039424340523734735
295,0.003766839047436634
296,0.003972604916495845
297,0.0042063141974919655
298,0.003659487671725958
299,0.0033511249239916224
